Years,Births,Carrying Capacity,Deaths,Effect of Population Size on Births,Initial Carrying Capacity,Initial Max Crude Birth Rate,Initial Mortality Rate,Initial Population,Max Crude Birth Rate,Mortality Rate,Population,Population Fraction,IP1 Crude Birth Rate.ES,IP1 Crude Birth Rate.Intervention Point,IP1 Crude Birth Rate.SW,IP1 Crude Birth Rate.T1,IP2 Mortality Rate.ES,IP2 Mortality Rate.Intervention Point,IP2 Mortality Rate.SW,IP2 Mortality Rate.T1,IP3 Carrying Capacity.ES,IP3 Carrying Capacity.Intervention Point,IP3 Carrying Capacity.SW,IP3 Carrying Capacity.T1,IP4 Effect of Population Size on Births.ES,IP4 Effect of Population Size on Births.Intervention Point,IP4 Effect of Population Size on Births.SW,IP4 Effect of Population Size on Births.T1
0,0,80,6,0,80,0.2,0.05,120,0.2,0.05,120,1.5,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0009765625,0,80,5.99985351801,0,80,0.2,0.05,120,0.2,0.05,119.994140768,1.4999267596,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.001953125,0,80,5.99956056356,0,80,0.2,0.05,120,0.2,0.05,119.988281822,1.49985352278,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0029296875,0,80,5.99926762342,0,80,0.2,0.05,120,0.2,0.05,119.982423162,1.49978028953,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.00390625,0,80,5.99897469758,0,80,0.2,0.05,120,0.2,0.05,119.976564789,1.49970705986,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0048828125,0,80,5.99868178605,0,80,0.2,0.05,120,0.2,0.05,119.970706701,1.49963383376,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.005859375,0,80,5.99838888882,0,80,0.2,0.05,120,0.2,0.05,119.964848899,1.49956061124,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0068359375,0,80,5.99809600588,0,80,0.2,0.05,120,0.2,0.05,119.958991384,1.4994873923,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0078125,0,80,5.99780313725,0,80,0.2,0.05,120,0.2,0.05,119.953134154,1.49941417693,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0087890625,0,80,5.99751028292,0,80,0.2,0.05,120,0.2,0.05,119.94727721,1.49934096513,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.009765625,0,80,5.99721744289,0,80,0.2,0.05,120,0.2,0.05,119.941420553,1.49926775691,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0107421875,0,80,5.99692461716,0,80,0.2,0.05,120,0.2,0.05,119.935564181,1.49919455226,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.01171875,0,80,5.99663180572,0,80,0.2,0.05,120,0.2,0.05,119.929708095,1.49912135119,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0126953125,0,80,5.99633900858,0,80,0.2,0.05,120,0.2,0.05,119.923852296,1.49904815369,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.013671875,0,80,5.99604622574,0,80,0.2,0.05,120,0.2,0.05,119.917996782,1.49897495977,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0146484375,0,80,5.99575345719,0,80,0.2,0.05,120,0.2,0.05,119.912141554,1.49890176942,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.015625,0,80,5.99546070294,0,80,0.2,0.05,120,0.2,0.05,119.906286612,1.49882858264,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0166015625,0,80,5.99516796298,0,80,0.2,0.05,120,0.2,0.05,119.900431955,1.49875539944,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.017578125,0,80,5.99487523732,0,80,0.2,0.05,120,0.2,0.05,119.894577585,1.49868221981,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0185546875,0,80,5.99458252595,0,80,0.2,0.05,120,0.2,0.05,119.8887235,1.49860904376,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.01953125,0,80,5.99428982887,0,80,0.2,0.05,120,0.2,0.05,119.882869702,1.49853587127,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0205078125,0,80,5.99399714608,0,80,0.2,0.05,120,0.2,0.05,119.877016189,1.49846270236,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.021484375,0,80,5.99370447758,0,80,0.2,0.05,120,0.2,0.05,119.871162962,1.49838953702,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0224609375,0,80,5.99341182338,0,80,0.2,0.05,120,0.2,0.05,119.865310021,1.49831637526,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0234375,0,80,5.99311918346,0,80,0.2,0.05,120,0.2,0.05,119.859457365,1.49824321707,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0244140625,0,80,5.99282655783,0,80,0.2,0.05,120,0.2,0.05,119.853604996,1.49817006244,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.025390625,0,80,5.99253394649,0,80,0.2,0.05,120,0.2,0.05,119.847752912,1.4980969114,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0263671875,0,80,5.99224134944,0,80,0.2,0.05,120,0.2,0.05,119.841901113,1.49802376392,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.02734375,0,80,5.99194876667,0,80,0.2,0.05,120,0.2,0.05,119.836049601,1.49795062001,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0283203125,0,80,5.99165619819,0,80,0.2,0.05,120,0.2,0.05,119.830198374,1.49787747968,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.029296875,0,80,5.991363644,0,80,0.2,0.05,120,0.2,0.05,119.824347433,1.49780434291,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0302734375,0,80,5.99107110408,0,80,0.2,0.05,120,0.2,0.05,119.818496778,1.49773120972,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.03125,0,80,5.99077857846,0,80,0.2,0.05,120,0.2,0.05,119.812646408,1.4976580801,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.0322265625,0,80,5.99048606711,0,80,0.2,0.05,120,0.2,0.05,119.806796324,1.49758495405,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
0.033203125,0,80,5.99019357005,0,80,0.2,0.05,120,0.2,0.05,119.800946526,1.49751183157,0.5,1,0,50,0.5,1,0,50,0.5,1,1,50,0.5,1,0,50
